county_id,county_name,enrollees,total_spend,hospital_snf,physician,outpatient,home_health,hospice,dme,state
48495,TX-Winkler County,654,10497.41,5016.88,1971.03,1925.47,1077.66,342.1,163.29,TX
48497,TX-Wise County,5514,12065.86,5284.68,2877.08,1808.23,1257.28,760.99,188.78,TX
48499,TX-Wood County,8322,10344.04,4207.65,2547.83,1988.88,846.13,532.96,254.92,TX
48501,TX-Yoakum County,801,11241.79,5610.4,1595.18,2924.28,454.54,466.0,221.2,TX
48503,TX-Young County,3137,11700.28,4534.58,2486.42,1555.9,1657.56,1227.58,294.65,TX
48505,TX-Zapata County,1181,11152.34,4222.47,2689.2,1103.72,2489.72,90.02,232.66,TX
48507,TX-Zavala County,792,10418.07,4913.89,2510.8,1555.11,746.99,375.65,255.52,TX
49001,UT-Beaver County,670,8414.12,4322.58,1477.29,1745.26,324.91,146.92,396.38,UT
49003,UT-Box Elder County,3458,8061.99,2944.09,2142.82,1532.46,601.14,636.99,224.96,UT
49005,UT-Cache County,4565,7903.42,2772.75,2210.01,1502.73,604.87,511.86,290.0,UT
49007,UT-Carbon County,2553,8783.87,3706.77,1982.98,1494.48,562.28,619.94,458.7,UT
49009,UT-Daggett County,132,11032.05,5103.02,2041.24,2459.35,,,382.75,UT
49011,UT-Davis County,16211,8320.03,3218.92,2173.72,1394.97,609.05,694.66,246.98,UT
49013,UT-Duchesne County,1571,6261.27,2768.03,1521.1,1298.65,253.95,180.74,211.98,UT
49015,UT-Emery County,1090,8384.93,3735.43,1828.01,1354.21,421.76,533.51,549.39,UT
49017,UT-Garfield County,803,6763.13,2822.5,1424.19,1401.46,463.62,,551.47,UT
49019,UT-Grand County,1351,8120.94,4083.49,1362.25,1784.36,217.27,503.77,196.77,UT
49021,UT-Iron County,3563,7978.09,3083.5,1885.17,1766.69,540.88,337.89,352.92,UT
49023,UT-Juab County,1049,9375.81,4883.01,1876.08,1404.93,616.0,275.96,369.06,UT
49025,UT-Kane County,1290,7065.37,3033.61,1605.31,1565.51,272.83,273.63,287.32,UT
49027,UT-Millard County,1635,8387.58,3679.07,1866.16,1834.35,241.8,545.11,219.96,UT
49029,UT-Morgan County,725,9640.27,4434.45,2610.6,1165.84,543.84,677.78,245.07,UT
49031,UT-Piute County,290,6224.04,2823.93,1067.01,1331.0,338.2,,347.99,UT
49033,UT-Rich County,222,8287.15,2721.87,2154.1,1836.75,1076.55,,250.6,UT
49035,UT-Salt Lake County,48063,8644.42,3642.18,2060.23,1460.4,716.92,568.09,195.97,UT
49037,UT-San Juan County,1318,9989.37,5012.43,1516.82,2452.2,275.29,134.99,225.84,UT
49039,UT-Sanpete County,3044,8323.19,3833.72,1819.06,1444.74,451.58,437.89,367.38,UT
